index,entry_date,entry_price,quantity,target_price,exit_date,exit_price,pnl,charges,holding_days
HDFCBANK,2015-05-07,237.8249969482422,42.04772470648364,249.7162467956543,2015-05-18,249.7162467956543,475.0000000000007,25,11
HDFCBANK,2015-09-01,250.0249938964844,39.99600137632724,262.5262435913086,2015-09-18,262.5262435913086,475.0000000000002,25,17
HDFCBANK,2015-09-02,248.7875061035156,40.19494449950069,261.2268814086914,2015-09-18,261.2268814086914,475.0000000000002,25,16
HDFCBANK,2015-09-07,246.1125030517578,40.631824373006296,258.4181282043457,2015-09-18,258.4181282043457,474.9999999999995,25,11
HDFCBANK,2015-08-24,254.7624969482422,39.25224520794209,267.5006217956543,2015-09-29,267.5006217956543,475.0,25,36
HDFCBANK,2015-08-25,254.6125030517578,39.27536896319342,267.3431282043457,2015-09-29,267.3431282043457,474.99999999999994,25,35
HDFCBANK,2015-08-26,253.375,39.46719289590528,266.04375,2015-09-29,266.04375,474.99999999999955,25,34
HDFCBANK,2016-02-24,237.3999938964844,42.12300024051554,249.26999359130863,2016-03-02,249.26999359130863,475.0000000000004,25,7
HDFCBANK,2016-02-25,235.6625061035156,42.43356385087182,247.44563140869138,2016-03-02,247.44563140869138,475.0000000000003,25,6
HDFCBANK,2016-02-12,242.8500061035156,41.17768066160751,254.99250640869138,2016-03-03,254.99250640869138,475.0000000000003,25,20
HDFCBANK,2016-02-11,243.8249969482422,41.01302214769532,256.0162467956543,2016-03-04,256.0162467956543,475.0,25,22
HDFCBANK,2016-02-15,243.3999938964844,41.084635376995536,255.56999359130864,2016-03-04,255.56999359130864,475.0000000000009,25,18
HDFCBANK,2016-02-16,243.3625030517578,41.090964608764,255.5306282043457,2016-03-04,255.5306282043457,475.0,25,17
HDFCBANK,2016-02-17,243.7250061035156,41.029848187808724,255.9112564086914,2016-03-04,255.9112564086914,475.00000000000097,25,16
HDFCBANK,2016-11-24,291.375,34.32003432003432,305.94375,2017-01-11,305.94375,475.00000000000074,25,48
HDFCBANK,2016-11-23,296.1875,33.76239713019624,310.996875,2017-01-16,310.996875,474.9999999999996,25,54
HDFCBANK,2018-09-24,481.4249877929688,20.771667972291425,505.4962371826173,2018-10-01,505.4962371826173,475.0000000000007,25,7
HDFCBANK,2018-09-19,490.3374938964844,20.394116551305597,514.8543685913086,2018-11-27,514.8543685913086,474.9999999999995,25,69
HDFCBANK,2018-09-11,500.1000061035156,19.996000555797036,525.1050064086915,2018-11-29,525.1050064086915,475.00000000000085,25,79
HDFCBANK,2019-08-05,544.8125,18.35493862567397,572.053125,2019-08-09,572.053125,475.0000000000004,25,4
HDFCBANK,2019-07-23,565.875,17.671747294013695,594.16875,2019-09-20,594.16875,475.0000000000008,25,59
HDFCBANK,2019-07-29,561.0750122070312,17.822928810649113,589.1287628173828,2019-09-20,589.1287628173828,475.0000000000004,25,53
HDFCBANK,2019-07-30,563.0625,17.76001776001776,591.215625,2019-09-20,591.215625,475.0000000000008,25,52
HDFCBANK,2019-07-31,562.9124755859375,17.764751064703205,591.0580993652344,2019-09-20,591.0580993652344,475.0000000000004,25,51
HDFCBANK,2019-08-01,555.4500122070312,18.003420254265347,583.2225128173828,2019-09-20,583.2225128173828,475.00000000000045,25,50
HDFCBANK,2019-08-02,553.5875244140625,18.063990893913964,581.2669006347656,2019-09-20,581.2669006347656,475.00000000000034,25,49
HDFCBANK,2019-08-06,547.2750244140625,18.27234855218627,574.6387756347657,2019-09-20,574.6387756347657,475.00000000000125,25,45
HDFCBANK,2019-08-07,546.0,18.315018315018314,573.3000000000001,2019-09-20,573.3000000000001,475.0000000000012,25,44
HDFCBANK,2020-03-12,510.6499938964844,19.58288479295886,536.1824935913086,2020-03-13,536.1824935913086,474.9999999999995,25,1
HDFCBANK,2020-03-23,385.7749938964844,25.921846045530145,405.0637435913086,2020-03-25,405.0637435913086,475.0,25,2
HDFCBANK,2020-03-24,383.8500061035156,26.051842753659425,403.0425064086914,2020-03-25,403.0425064086914,474.9999999999997,25,1
HDFCBANK,2020-03-18,438.4500122070313,22.807617109332202,460.37251281738287,2020-03-26,460.37251281738287,474.99999999999994,25,8
HDFCBANK,2020-03-20,441.4249877929688,22.6539055933328,463.4962371826173,2020-03-26,463.4962371826173,475.0000000000007,25,6
HDFCBANK,2020-03-19,447.7749938964844,22.332645047864773,470.1637435913086,2020-03-27,470.1637435913086,475.00000000000057,25,8
HDFCBANK,2020-03-17,487.5499877929688,20.510717363090897,511.92748718261726,2020-06-03,511.92748718261726,475.00000000000017,25,78
HDFCBANK,2020-03-16,499.75,20.010005002501252,524.7375000000001,2020-06-08,524.7375000000001,475.0000000000014,25,84
HDFCBANK,2020-03-13,534.9000244140625,18.695082339833785,561.6450256347656,2020-07-08,561.6450256347656,474.9999999999996,25,117
HDFCBANK,2020-03-09,553.6500244140625,18.06195170059493,581.3325256347656,2020-10-07,581.3325256347656,474.9999999999996,25,212
HDFCBANK,2020-03-06,567.4500122070312,17.622697655968242,595.8225128173829,2020-10-08,595.8225128173829,475.0000000000008,25,216
HDFCBANK,2020-03-11,556.9000244140625,17.95654437351015,584.7450256347656,2020-10-08,584.7450256347656,475.0,25,211
HDFCBANK,2020-03-04,574.4249877929688,17.408713430837288,603.1462371826173,2020-10-09,603.1462371826173,475.0000000000012,25,219
HDFCBANK,2020-03-05,575.6749877929688,17.370912775519653,604.4587371826173,2020-10-09,604.4587371826173,475.00000000000125,25,218
HDFCBANK,2021-12-20,712.8250122070312,14.028688428087346,748.4662628173828,2022-01-03,748.4662628173828,475.0,25,14
HDFCBANK,2021-11-26,744.9500122070312,13.423719492766276,782.1975128173829,2022-01-05,782.1975128173829,475.0000000000006,25,40
