Date,Open,High,Low,Close,Volume,Adj Close
,GRAVITA.NS,GRAVITA.NS,GRAVITA.NS,GRAVITA.NS,GRAVITA.NS,GRAVITA.NS
2015-01-01,58.099998474121094,67.4000015258789,58.099998474121094,61.5,431790,56.394805908203125
2015-01-02,61.95000076293945,63.95000076293945,61.25,62.0,80262,56.853302001953125
2015-01-05,61.5,62.70000076293945,60.54999923706055,60.95000076293945,38989,55.89046096801758
2015-01-06,60.5,60.849998474121094,58.099998474121094,58.75,48102,53.87309265136719
2015-01-07,59.0,60.25,56.20000076293945,56.849998474121094,63960,52.13080596923828
2015-01-08,57.099998474121094,68.19999694824219,57.099998474121094,64.19999694824219,1203293,58.87067794799805
2015-01-09,65.19999694824219,65.19999694824219,61.5,61.95000076293945,224185,56.807456970214844
2015-01-12,62.150001525878906,63.79999923706055,60.70000076293945,61.54999923706055,72719,56.44065475463867
2015-01-13,61.0,62.70000076293945,59.5,60.650001525878906,90360,55.6153678894043
2015-01-14,61.0,61.79999923706055,59.70000076293945,60.099998474121094,28499,55.11102294921875
2015-01-15,60.5,61.95000076293945,59.150001525878906,59.400001525878906,72315,54.46913528442383
2015-01-16,59.099998474121094,63.0,58.45000076293945,59.349998474121094,257538,54.42327880859375
2015-01-19,61.0,61.0,59.0,59.29999923706055,63832,54.37743377685547
2015-01-20,59.29999923706055,61.5,59.29999923706055,59.650001525878906,68990,54.69838333129883
2015-01-21,59.45000076293945,60.5,58.599998474121094,58.849998474121094,48315,53.964786529541016
2015-01-22,58.95000076293945,60.400001525878906,58.25,58.45000076293945,61354,53.597991943359375
2015-01-23,59.099998474121094,59.150001525878906,56.5,56.79999923706055,49362,52.0849609375
2015-01-27,57.79999923706055,57.79999923706055,56.0,56.5,30187,51.80986785888672
2015-01-28,56.900001525878906,56.900001525878906,53.150001525878906,54.150001525878906,59769,49.654937744140625
2015-01-29,53.79999923706055,59.29999923706055,53.5,56.400001525878906,152610,51.71816635131836
2015-01-30,56.400001525878906,58.79999923706055,54.95000076293945,55.150001525878906,26978,50.57193374633789
2015-02-02,55.04999923706055,56.849998474121094,54.5,55.45000076293945,26642,50.847023010253906
2015-02-03,55.95000076293945,57.29999923706055,54.0,54.5,37685,49.975894927978516
2015-02-04,54.150001525878906,57.5,53.5,55.04999923706055,55558,50.4802360534668
2015-02-05,55.04999923706055,55.95000076293945,52.70000076293945,53.95000076293945,25624,49.47153854370117
2015-02-06,54.900001525878906,54.900001525878906,51.04999923706055,51.70000076293945,30903,47.4083137512207
2015-02-09,51.150001525878906,52.29999923706055,48.0,48.70000076293945,28592,44.657352447509766
2015-02-10,49.0,51.900001525878906,48.04999923706055,49.95000076293945,36532,45.8035888671875
2015-02-11,49.0,52.599998474121094,49.0,50.45000076293945,23230,46.262081146240234
2015-02-12,51.650001525878906,51.650001525878906,49.0,49.75,22322,45.62019348144531
2015-02-13,50.25,50.75,49.349998474121094,49.599998474121094,11761,45.482643127441406
2015-02-16,49.20000076293945,51.95000076293945,48.849998474121094,49.75,82464,45.62019348144531
2015-02-18,49.099998474121094,51.900001525878906,49.099998474121094,49.900001525878906,73790,45.75774002075195
2015-02-19,51.900001525878906,51.900001525878906,49.5,49.70000076293945,65184,45.5743408203125
2015-02-20,49.75,51.20000076293945,49.5,50.099998474121094,31645,45.94112777709961
2015-02-23,50.20000076293945,50.20000076293945,48.0,49.0,35675,44.93244934082031
2015-02-24,48.400001525878906,48.75,46.5,47.04999923706055,21421,43.144317626953125
2015-02-25,47.099998474121094,48.0,45.099998474121094,45.45000076293945,18718,41.6771354675293
2015-02-26,45.099998474121094,52.0,44.099998474121094,45.04999923706055,410193,41.31034469604492
